指标,VPP1,VPP2,VPP3,VPP4,VPP5,VPP6,VPP7,VPP8,VPP9
消纳率(%),-66.3889348558369,12.748331704633,-50.0048107959572,21.458000326824,14.9869962564651,43.7882680724266,-59.4038199846669,-129.104727691731,-170.784563535791
频率合格率(%),100,100,100,100,100,100,100,100,100
供电可靠性(%),90.4563248844674,92.6691881536847,89.630438370655,94.0785351646597,92.0309872878713,95.2116026275114,97.2701153760399,98.0513504649588,97.6088091232922
调度成本(元),3968.53903358978,2758.85071434933,3916.71374769915,2844.19263033197,3320.26827083687,2396.00337504574,1714.65414408659,1569.01559064465,1604.97653951039
备用裕度,4.12732798758407,4.38229805631513,3.89084324883601,4.46197620279358,4.44803252715985,4.25200085207389,3.82242628039317,3.60782647254453,3.90594532213777
平均频率(Hz),50.0000000000089,50.0036633460649,49.9999999999974,50.0210308488512,50.0123759130751,50.0649618191162,50.008496622359,50.0052338898395,50.000275137503
最大频偏(Hz),3.67315067251184e-10,0.0638165230434637,1.2099121704523e-10,0.114326971148209,0.0845644822054439,0.233036356423639,0.0875740705880688,0.0761344751447623,0.0325658106382889
低频告警(次),0,0,0,0,0,0,0,0,0
SOC越限(次),0,0,0,0,0,0,0,0,0
切负荷(次),230,218,227,212,226,191,156,89,99
最大切负荷(kW),56.1895125305143,52.9793148089868,62.5034486539887,53.3456754957634,53.0370242935767,47.4940245867186,47.2306168996883,45.4055164978094,43.5374884075275
