Time_h,VPP1_PV_kW,VPP2_PV_kW,VPP3_PV_kW,VPP4_PV_kW,VPP5_PV_kW,VPP6_PV_kW,VPP7_PV_kW,VPP8_PV_kW,VPP9_PV_kW,VPP1_Wind_kW,VPP2_Wind_kW,VPP3_Wind_kW,VPP4_Wind_kW,VPP5_Wind_kW,VPP6_Wind_kW,VPP7_Wind_kW,VPP8_Wind_kW,VPP9_Wind_kW,VPP1_Gas_kW,VPP2_Gas_kW,VPP3_Gas_kW,VPP4_Gas_kW,VPP5_Gas_kW,VPP6_Gas_kW,VPP7_Gas_kW,VPP8_Gas_kW,VPP9_Gas_kW,VPP1_Bat_kW,VPP2_Bat_kW,VPP3_Bat_kW,VPP4_Bat_kW,VPP5_Bat_kW,VPP6_Bat_kW,VPP7_Bat_kW,VPP8_Bat_kW,VPP9_Bat_kW,VPP1_Load_kW,VPP2_Load_kW,VPP3_Load_kW,VPP4_Load_kW,VPP5_Load_kW,VPP6_Load_kW,VPP7_Load_kW,VPP8_Load_kW,VPP9_Load_kW,VPP1_Shed_kW,VPP2_Shed_kW,VPP3_Shed_kW,VPP4_Shed_kW,VPP5_Shed_kW,VPP6_Shed_kW,VPP7_Shed_kW,VPP8_Shed_kW,VPP9_Shed_kW,VPP1_Curtail_kW,VPP2_Curtail_kW,VPP3_Curtail_kW,VPP4_Curtail_kW,VPP5_Curtail_kW,VPP6_Curtail_kW,VPP7_Curtail_kW,VPP8_Curtail_kW,VPP9_Curtail_kW,VPP1_SOC,VPP2_SOC,VPP3_SOC,VPP4_SOC,VPP5_SOC,VPP6_SOC,VPP7_SOC,VPP8_SOC,VPP9_SOC,VPP1_Freq_Hz,VPP2_Freq_Hz,VPP3_Freq_Hz,VPP4_Freq_Hz,VPP5_Freq_Hz,VPP6_Freq_Hz,VPP7_Freq_Hz,VPP8_Freq_Hz,VPP9_Freq_Hz,VPP12_Exchange_kW,VPP19_Exchange_kW,VPP23_Exchange_kW,VPP34_Exchange_kW,VPP45_Exchange_kW,VPP56_Exchange_kW,VPP67_Exchange_kW,VPP78_Exchange_kW,VPP89_Exchange_kW,VPP12_Delay_ms,VPP19_Delay_ms,VPP23_Delay_ms,VPP34_Delay_ms,VPP45_Delay_ms,VPP56_Delay_ms,VPP67_Delay_ms,VPP78_Delay_ms,VPP89_Delay_ms,ADMM_Residual
0.000000,1.1744,0.9350,1.1237,0.3968,0.2878,0.3548,0.4910,0.3996,0.4261,36.9949,73.6008,33.9205,146.7356,136.6991,236.1691,92.7832,69.3306,47.3896,40.0000,45.0000,50.0000,55.0000,50.0000,45.0000,60.0000,55.0000,50.0000,-40.8425,-54.5190,-42.2877,-63.0504,-65.8042,-62.8283,-58.4994,-54.5791,-51.0426,163.4783,143.0435,153.2609,183.9130,163.4783,173.6957,153.2609,143.0435,132.8261,50.9480,37.2600,49.8349,29.7549,28.0069,32.0296,35.3296,38.2568,41.1067,38.1693,22.4437,35.0443,15.0762,14.2886,19.2604,23.1565,25.9894,27.9786,0.509394,0.564331,0.530238,0.611601,0.593453,0.562042,0.542814,0.582553,0.560921,50.000000,50.000000,50.000000,50.000000,50.000000,50.032097,50.000000,50.000000,50.000000,20.5379,15.0540,-18.5542,30.7339,4.7509,21.5007,-33.8145,-5.2468,-4.8539,12.931,5.874,11.523,13.614,8.111,10.031,14.705,6.191,15.801,18.577070
0.100000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7674,47.2848,21.7922,94.2702,87.8223,151.7267,59.6085,44.5414,30.4455,70.0000,73.0000,75.0000,71.0480,67.4262,46.8277,71.8752,73.3938,74.7576,-9.0986,-19.8360,-10.9098,-22.1296,-25.7320,-39.5817,-21.2799,-19.7744,-18.4304,155.9652,136.4696,146.2174,175.4609,155.9652,165.7130,146.2174,136.4696,126.7217,33.4240,22.6525,31.2560,19.3496,14.8488,0.0000,19.3036,21.7149,23.7150,23.7674,12.9982,21.7922,12.9226,11.5999,0.0000,16.7100,16.5938,16.2341,0.511486,0.569545,0.532879,0.615673,0.598714,0.569629,0.547475,0.587101,0.564864,50.000000,50.000000,50.000000,50.000000,50.000000,50.013802,50.000000,50.000000,50.000000,16.1219,14.1941,-13.2232,17.1824,5.8625,21.2783,-27.9563,-2.7177,-2.3539,4.975,10.323,20.544,10.427,8.799,8.865,2.172,10.899,12.163,11.495953
0.200000,1.6207,1.3184,1.4192,0.5435,0.4009,0.4664,0.6689,0.5246,0.5790,14.7550,29.3549,13.5289,58.5240,54.5210,94.1936,37.0056,27.6518,18.9009,73.1314,64.9074,70.7693,67.1415,63.0826,52.2333,64.9100,65.1440,65.1912,34.7176,26.4955,32.3566,28.7255,24.6626,17.0294,26.4866,26.7228,26.7738,157.3101,137.6464,147.4783,176.9739,157.3101,167.1420,147.4783,137.6464,127.8145,16.7097,8.4879,14.4563,11.0277,7.2416,0.0000,9.0648,9.0239,8.8726,16.3757,7.0823,14.9480,11.0118,7.4015,0.0000,9.3424,8.5793,7.4970,0.502052,0.561316,0.523624,0.609428,0.592757,0.565772,0.540621,0.579840,0.558096,50.000000,50.000000,50.000000,50.000000,50.000000,50.005828,50.000000,50.000000,50.000000,12.3339,11.8605,-8.8457,5.3438,5.9539,11.2524,-13.9897,-0.2146,0.0266,11.183,10.685,5.864,14.978,10.764,8.676,14.786,5.711,11.225,6.962344
0.300000,3.9176,3.3480,3.6074,1.2860,0.9311,1.1537,1.6737,1.2839,1.3725,14.2932,28.4360,13.1054,56.6921,52.8144,91.2451,35.8473,26.7862,18.3092,73.5764,65.9633,71.4408,69.5457,65.6871,57.3071,66.9916,66.8167,66.4776,38.6155,31.0032,36.4702,34.5854,30.7284,24.0315,32.0293,31.8512,31.5051,165.1014,144.4638,154.7826,185.7391,165.1014,175.4203,154.7826,144.4638,134.1449,16.4879,8.8748,14.1175,11.7720,7.3081,0.0000,8.6072,9.0354,9.1534,18.2108,6.8386,16.0413,11.8580,7.6323,0.0000,9.6334,8.6904,7.3271,0.491559,0.551688,0.513192,0.601910,0.585335,0.560330,0.532332,0.571184,0.550132,50.000000,50.000000,50.000000,50.000000,50.000000,50.002353,50.000000,50.000000,50.000000,11.4193,10.7719,-8.0936,3.0627,6.0897,10.3511,-12.3034,-0.0375,0.2836,8.931,9.243,16.777,2.226,15.029,10.295,9.710,10.567,1.231,6.470886
0.400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5239,22.9265,10.5662,45.7079,42.5815,73.5662,28.9018,21.5964,14.7618,78.1337,70.0806,75.6060,74.3529,69.9402,63.6910,70.8533,70.2682,69.5610,48.3300,40.2795,45.8040,44.5463,40.1277,34.8851,41.0355,40.4537,39.7520,162.9681,142.5971,152.7826,183.3391,162.9681,173.1536,152.7826,142.5971,132.4116,13.4566,5.4063,10.9536,9.7375,5.3717,0.0000,6.2796,5.6449,4.9021,11.5239,3.9042,9.8529,8.9945,4.9471,0.0000,5.7124,4.6339,3.4348,0.478426,0.539179,0.500090,0.592226,0.575642,0.552431,0.521712,0.560192,0.540084,50.000000,50.000000,50.000000,50.000000,50.000000,50.000839,50.000000,50.000000,50.000000,12.0770,12.8527,-8.2986,1.8634,6.5987,7.9261,-9.2905,0.9008,1.0759,11.210,6.291,9.906,10.537,5.689,12.830,9.174,4.193,10.802,6.165262
0.500000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3689,16.6497,7.6734,33.1940,30.9236,53.4253,20.9891,15.6837,10.7203,81.7967,74.7612,79.6401,80.6436,75.7666,71.3891,75.6398,74.6566,73.2556,55.9005,48.8763,53.7484,54.7463,49.8604,46.1932,49.7272,48.7469,47.3429,161.6232,141.4203,151.5217,181.8261,161.6232,171.7246,151.5217,141.4203,131.3188,7.1882,0.0000,4.3193,5.8157,2.0528,0.0000,2.2951,0.8761,0.0000,8.3689,1.1331,6.1406,7.4264,3.0198,0.0000,2.8706,1.4571,0.0000,0.463235,0.524000,0.484716,0.580325,0.563598,0.541970,0.508842,0.546945,0.528116,50.000000,50.000000,50.000000,50.000000,50.000000,50.000181,50.000000,50.000000,50.000000,10.6240,12.1435,-7.0351,-1.7489,6.7629,4.6903,-4.6814,1.6913,1.8405,12.249,7.929,0.486,17.834,10.939,17.159,13.842,15.200,2.633,5.306399
0.600000,4.2181,3.5763,3.9990,1.4266,1.0707,1.2893,1.7953,1.4225,1.5608,7.8982,15.7134,7.2419,31.3273,29.1846,50.4209,19.8087,14.8017,10.1174,79.3415,73.6933,78.1504,80.5253,76.2400,72.4906,75.2573,74.2351,72.8398,53.0015,47.3384,51.8133,54.1850,49.8952,46.7287,48.9068,47.8861,46.4950,162.4116,142.1101,152.2609,182.7130,162.4116,172.5623,152.2609,142.1101,131.9594,5.8360,0.0000,3.3125,5.3579,1.7586,0.0000,1.4795,0.5696,0.0000,12.1163,1.7887,7.7439,9.8910,4.2625,1.0457,5.0133,3.1952,0.9464,0.448833,0.509299,0.469895,0.568545,0.551546,0.531389,0.496185,0.533933,0.516363,50.000000,50.000000,50.000000,50.000000,50.000000,49.999895,50.000000,50.000000,50.000000,8.5737,9.4221,-6.1222,-3.3961,6.0872,4.0437,-2.9186,1.4764,1.6780,14.254,6.917,12.312,12.801,16.450,8.171,14.009,8.833,7.483,4.582470
0.700000,2.1404,1.7432,1.9096,0.6985,0.5340,0.6445,0.8908,0.7110,0.7719,6.7302,13.3896,6.1709,26.6943,24.8685,42.9642,16.8792,12.6127,8.6212,80.6567,74.4523,78.4805,81.3395,76.8714,74.3357,75.9896,74.6535,73.2162,57.6096,51.4082,55.4364,58.2923,53.8196,51.8087,52.9322,51.5978,50.1645,163.6174,143.1652,153.3913,184.0696,163.6174,173.8435,153.3913,143.1652,132.9391,7.6098,1.4085,5.4364,8.2925,3.8199,1.8089,2.9324,1.5981,0.1655,8.8706,0.7634,5.9576,8.7523,3.7041,1.7526,3.7670,1.9921,0.0000,0.433178,0.493333,0.454038,0.555873,0.538546,0.519657,0.482486,0.519912,0.503683,50.000000,50.000000,50.000000,50.000000,50.000000,49.999771,50.000000,50.000000,50.000000,9.3036,11.1650,-6.0421,-4.2856,6.7068,3.0143,-1.6861,2.0024,2.1517,14.190,5.816,15.617,6.976,8.663,9.742,7.160,9.502,10.942,4.701283
0.800000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2620,22.4055,10.3260,44.6691,41.6138,71.8943,28.2450,21.1055,14.4263,77.4206,69.5223,74.9693,73.8479,69.5740,64.0492,70.4474,69.7858,69.0240,46.7820,38.8864,44.3325,43.2068,38.9272,33.8996,39.7954,39.1368,38.3802,160.3246,140.2841,150.3043,180.3652,160.3246,170.3449,150.3043,140.2841,130.2638,13.5981,5.7022,11.0882,9.8456,5.3997,0.0000,6.2680,5.7754,5.1357,11.2620,3.7677,9.5882,8.7957,4.8099,0.0000,5.5485,4.4805,3.2976,0.420466,0.481257,0.441357,0.546480,0.529144,0.511980,0.472187,0.509277,0.493981,50.000000,50.000000,50.000000,50.000000,50.000000,49.999718,50.000000,50.000000,50.000000,11.8449,12.6304,-8.1396,1.7449,6.4997,7.7252,-9.0302,0.9065,1.0791,7.085,10.678,5.090,13.284,9.371,17.796,7.034,10.061,13.669,6.041337
0.900000,1.5454,1.2544,1.3924,0.5147,0.3721,0.4647,0.6365,0.5078,0.5642,13.1809,26.2232,12.0855,52.2804,48.7045,84.1446,33.0577,24.7018,16.8844,74.1006,66.2328,71.8761,69.8241,65.9361,59.2975,67.2419,66.8191,66.3110,39.3088,31.4340,37.1029,35.0445,31.1649,25.0134,32.4662,32.0401,31.5266,159.4435,139.5130,149.4783,179.3739,159.4435,169.4087,149.4783,139.5130,129.5478,16.5816,8.7054,14.0637,11.4909,6.9032,0.0000,8.2014,8.4798,8.4902,14.7263,5.6633,12.9576,10.2194,6.3627,0.0000,7.8747,6.9644,5.7713,0.409784,0.471495,0.430744,0.538862,0.521616,0.506316,0.463785,0.500570,0.486012,50.000000,50.000000,50.000000,50.000000,50.000000,49.999696,50.000000,50.000000,50.000000,11.8094,11.8315,-8.3353,3.3416,6.1776,9.6024,-11.5550,0.2852,0.5056,13.874,9.107,10.710,10.107,10.722,11.543,7.825,14.318,10.279,6.372314
