time_h,pv_power_kW
0.0,1.9
0.1,0.0
0.2,2.27
0.30000000000000004,5.2
0.4,0.0
0.5,0.0
0.6000000000000001,4.76
0.7000000000000001,2.17
0.8,0.0
0.9,1.36
1.0,0.0
1.1,0.0
1.2000000000000002,0.5
1.3,0.0
1.4000000000000001,0.0
1.5,0.0
1.6,0.0
1.7000000000000002,0.47
1.8,0.0
1.9000000000000001,0.0
2.0,1.7
2.1,0.0
2.2,0.06
2.3000000000000003,0.0
2.4000000000000004,0.0
2.5,0.08
2.6,0.0
2.7,0.25
2.8000000000000003,0.0
2.9000000000000004,0.0
3.0,0.0
3.1,1.23
3.2,0.0
3.3000000000000003,0.0
3.4000000000000004,0.54
3.5,0.0
3.6,0.13
3.7,0.0
3.8000000000000003,0.0
3.9000000000000004,0.13
4.0,0.48
4.1000000000000005,0.11
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6000000000000005,0.0
4.7,0.69
4.800000000000001,0.22
4.9,0.0
5.0,0.21
5.1000000000000005,0.0
5.2,0.0
5.300000000000001,0.39
5.4,0.67
5.5,0.61
5.6000000000000005,0.0
5.7,0.0
5.800000000000001,0.31
5.9,1.0
6.0,0.0
6.1000000000000005,0.08
6.2,0.0
6.300000000000001,0.17
6.4,4.6
6.5,7.42
6.6000000000000005,6.85
6.7,11.86
6.800000000000001,13.5
6.9,14.65
7.0,21.69
7.1000000000000005,30.42
7.2,31.15
7.300000000000001,44.02
7.4,34.69
7.5,58.24
7.6000000000000005,64.39
7.7,73.65
7.800000000000001,88.02
7.9,88.36
8.0,115.03
8.1,136.02
8.200000000000001,164.19
8.3,162.98
8.4,178.62
8.5,196.02
8.6,218.32
8.700000000000001,230.46
8.8,240.27
8.9,264.02
9.0,278.12
9.1,302.75
9.200000000000001,304.4
9.3,324.94
9.4,337.24
9.5,346.46
9.600000000000001,378.16
9.700000000000001,392.25
9.8,403.32
9.9,418.51
10.0,423.21
10.100000000000001,442.85
10.200000000000001,456.76
10.3,467.55
10.4,485.34
10.5,499.92
10.600000000000001,529.2
10.700000000000001,523.92
10.8,532.18
10.9,536.37
11.0,525.81
11.100000000000001,546.47
11.200000000000001,555.96
11.3,587.26
11.4,567.4
11.5,579.7
11.600000000000001,576.56
11.700000000000001,569.36
11.8,590.37
11.9,591.92
12.0,587.78
12.100000000000001,567.69
12.200000000000001,593.44
12.3,563.6
12.4,577.79
12.5,592.44
12.600000000000001,556.42
12.700000000000001,555.57
12.8,555.02
12.9,545.52
13.0,525.86
13.100000000000001,530.43
13.200000000000001,508.19
13.3,513.53
13.4,489.61
13.5,506.82
13.600000000000001,469.61
13.700000000000001,463.49
13.8,457.09
13.9,431.92
14.0,430.6
14.100000000000001,424.68
14.200000000000001,389.02
14.3,385.22
14.4,370.99
14.5,357.35
14.600000000000001,325.07
14.700000000000001,306.63
14.8,305.84
14.9,290.73
15.0,274.59
15.100000000000001,257.14
15.200000000000001,236.46
15.3,223.18
15.4,208.86
15.5,188.96
15.600000000000001,192.47
15.700000000000001,165.71
15.8,138.28
15.9,134.24
16.0,107.67
16.1,104.3
16.2,92.29
16.3,68.68
16.400000000000002,67.43
16.5,54.53
16.6,48.11
16.7,44.3
16.8,29.65
16.900000000000002,22.5
17.0,17.49
17.1,13.89
17.2,12.25
17.3,9.97
17.400000000000002,7.36
17.5,6.28
17.6,3.16
17.7,4.03
17.8,0.59
17.900000000000002,3.64
18.0,0.68
18.1,0.0
18.2,0.0
18.3,0.38
18.400000000000002,0.0
18.5,0.45
18.6,0.3
18.7,0.0
18.8,0.0
18.900000000000002,0.0
19.0,0.0
19.1,0.54
19.200000000000003,0.13
19.3,0.0
19.400000000000002,0.11
19.5,0.24
19.6,0.0
19.700000000000003,0.1
19.8,0.04
19.900000000000002,0.0
20.0,0.23
20.1,0.36
20.200000000000003,0.7
20.3,0.67
20.400000000000002,0.0
20.5,0.0
20.6,0.33
20.700000000000003,0.33
20.8,0.33
20.900000000000002,2.51
21.0,0.37
21.1,0.72
21.200000000000003,0.62
21.3,0.42
21.400000000000002,0.0
21.5,0.5
21.6,0.0
21.700000000000003,0.0
21.8,0.0
21.900000000000002,0.08
22.0,2.62
22.1,0.0
22.200000000000003,0.94
22.3,0.0
22.400000000000002,0.0
22.5,1.88
22.6,0.12
22.700000000000003,0.0
22.8,0.0
22.900000000000002,1.53
23.0,0.0
23.1,0.54
23.200000000000003,0.12
23.3,0.0
23.400000000000002,6.44
23.5,1.96
23.6,0.0
23.700000000000003,0.62
23.8,0.0
23.900000000000002,3.11
