time_h,irradiance_Wm2,temperature_C,wind_speed_ms,load_kW,tide_height_m
0.0,7.5,15.0,7.73,352.5,4.69
0.1,0.0,15.9,6.67,336.3,5.02
0.2,9.7,16.7,5.69,339.2,4.81
0.30000000000000004,22.8,17.1,5.63,356.0,5.09
0.4,0.0,13.9,5.24,351.4,4.97
0.5,0.0,15.1,4.71,348.5,5.56
0.6000000000000001,23.7,14.9,4.62,350.2,5.04
0.7000000000000001,11.5,14.5,4.38,352.8,5.9
0.8,0.0,18.1,5.2,345.7,5.46
0.9,8.1,16.0,5.48,343.8,5.16
1.0,0.0,13.4,5.34,351.6,5.73
1.1,0.0,16.6,5.77,342.2,5.59
1.2000000000000002,3.6,18.4,5.56,353.3,6.15
1.3,0.0,16.7,5.07,336.5,5.8
1.4000000000000001,0.0,12.8,5.57,358.3,5.95
1.5,0.0,14.3,5.57,353.9,5.6
1.6,0.0,16.9,4.99,352.2,6.11
1.7000000000000002,4.7,14.0,4.88,358.0,5.6
1.8,0.0,15.7,4.55,363.5,5.92
1.9000000000000001,0.0,16.2,4.14,358.3,6.69
2.0,22.0,13.6,4.67,335.6,6.75
2.1,0.0,14.9,5.4,340.1,6.7
2.2,1.0,10.1,4.71,345.4,6.33
2.3000000000000003,0.0,13.5,4.93,350.7,6.64
2.4000000000000004,0.0,14.7,4.65,354.7,6.69
2.5,1.7,13.2,4.5,344.9,6.37
2.6,0.0,17.6,4.36,352.3,7.19
2.7,5.6,13.0,4.16,344.9,7.02
2.8000000000000003,0.0,14.5,4.35,346.2,6.69
2.9000000000000004,0.0,15.4,4.17,340.0,6.77
3.0,0.0,17.5,4.44,344.1,6.81
3.1,27.8,13.2,4.51,340.9,6.13
3.2,0.0,17.2,4.49,344.2,6.64
3.3000000000000003,0.0,15.5,4.24,360.7,6.48
3.4000000000000004,12.3,14.1,4.18,345.1,6.35
3.5,0.0,16.3,4.63,374.2,6.53
3.6,3.1,16.0,4.85,357.5,7.1
3.7,0.0,14.9,4.47,355.6,6.7
3.8000000000000003,0.0,16.0,4.6,347.9,6.28
3.9000000000000004,3.0,15.5,4.93,361.0,6.55
4.0,11.1,16.3,4.29,351.6,6.73
4.1000000000000005,2.6,17.2,4.65,358.1,6.51
4.2,0.0,18.8,4.47,378.6,6.16
4.3,0.0,14.6,4.79,358.4,5.86
4.4,0.0,19.8,4.54,369.6,6.16
4.5,0.0,13.8,4.0,356.2,5.97
4.6000000000000005,0.0,16.7,3.69,363.0,6.01
4.7,15.9,17.9,4.09,379.2,5.82
4.800000000000001,5.2,17.6,4.45,361.8,5.83
4.9,0.0,16.4,4.29,383.4,5.23
5.0,4.9,17.2,4.74,376.8,5.66
5.1000000000000005,0.0,16.9,4.24,369.1,5.19
5.2,0.0,16.9,4.47,381.3,5.62
5.300000000000001,9.2,19.3,4.23,387.0,4.66
5.4,15.5,18.7,4.28,387.4,5.24
5.5,14.0,17.3,4.57,373.3,4.64
5.6000000000000005,0.0,19.9,4.46,383.7,4.24
5.7,0.0,19.1,4.56,391.6,4.14
5.800000000000001,5.0,20.1,5.15,397.3,4.04
5.9,14.6,20.0,5.0,407.5,4.11
6.0,0.0,18.0,5.42,408.9,3.99
6.1000000000000005,1.0,18.6,5.01,402.1,3.51
6.2,0.0,20.8,5.34,421.4,3.52
6.300000000000001,1.8,20.8,5.92,429.2,4.02
