time_h,wind_power_kW
0.0,1102.04
0.1,746.58
0.2,474.03
0.30000000000000004,464.88
0.4,362.58
0.5,261.35
0.6000000000000001,236.51
0.7000000000000001,212.81
0.8,355.89
0.9,424.47
1.0,382.27
1.1,487.02
1.2000000000000002,452.62
1.3,317.21
1.4000000000000001,455.11
1.5,453.94
1.6,316.48
1.7000000000000002,284.99
1.8,201.47
1.9000000000000001,155.34
2.0,207.96
2.1,385.78
2.2,217.11
2.3000000000000003,274.33
2.4000000000000004,196.32
2.5,171.17
2.6,164.22
2.7,137.74
2.8000000000000003,161.5
2.9000000000000004,136.97
3.0,169.43
3.1,178.61
3.2,169.43
3.3000000000000003,150.98
3.4000000000000004,146.46
3.5,196.93
3.6,237.98
3.7,170.08
3.8000000000000003,194.75
3.9000000000000004,268.32
4.0,157.35
4.1000000000000005,186.45
4.2,160.65
4.3,219.75
4.4,177.49
4.5,121.14
4.6000000000000005,99.36
4.7,132.06
4.800000000000001,164.95
4.9,157.55
5.0,247.79
5.1000000000000005,168.21
5.2,190.49
5.300000000000001,168.21
5.4,182.84
5.5,215.28
5.6000000000000005,190.49
5.7,209.8
5.800000000000001,316.44
5.9,298.66
6.0,375.34
6.1000000000000005,288.25
6.2,350.21
6.300000000000001,482.63
6.4,262.18
6.5,240.69
6.6000000000000005,342.8
6.7,350.21
6.800000000000001,429.41
6.9,387.23
7.0,433.29
7.1000000000000005,437.04
7.2,548.0
7.300000000000001,548.0
7.4,570.22
7.5,549.78
7.6000000000000005,499.9
7.7,487.33
7.800000000000001,557.31
7.9,539.53
8.0,559.13
8.1,899.13
8.200000000000001,964.11
8.3,815.94
8.4,989.95
8.5,819.34
8.6,583.16
8.700000000000001,557.23
8.8,441.13
8.9,518.58
9.0,603.52
9.1,885.23
9.200000000000001,947.92
9.3,900.91
9.4,1061.31
9.5,742.75
9.600000000000001,855.5
9.700000000000001,1035.97
9.8,823.15
9.9,1119.49
10.0,1176.51
10.100000000000001,1141.3
10.200000000000001,1211.77
10.3,1502.95
10.4,1449.27
10.5,1404.81
10.600000000000001,1313.15
10.700000000000001,1200.91
10.8,1351.64
10.9,1235.58
11.0,1273.78
11.100000000000001,1235.52
11.200000000000001,1335.48
11.3,1445.3
11.4,1660.82
11.5,1478.04
11.600000000000001,1470.4
11.700000000000001,1339.95
11.8,1343.67
11.9,1477.67
12.0,1720.39
12.100000000000001,1494.81
12.200000000000001,1742.03
12.3,2010.12
12.4,2012.21
12.5,2303.24
12.600000000000001,2009.93
12.700000000000001,1738.63
12.8,1475.53
12.9,1868.68
13.0,2013.84
13.100000000000001,2016.12
13.200000000000001,2034.14
13.3,1852.99
13.4,2349.06
13.5,2310.42
13.600000000000001,2284.87
13.700000000000001,2340.86
13.8,2341.03
13.9,2342.37
14.0,2118.89
14.100000000000001,2254.62
14.200000000000001,2548.85
14.3,2709.08
14.4,2869.75
14.5,2597.95
14.600000000000001,2296.28
14.700000000000001,2274.95
14.8,2302.09
14.9,2534.85
15.0,2118.53
15.100000000000001,2489.78
15.200000000000001,2352.76
15.3,2306.79
15.4,2185.26
15.5,1952.37
15.600000000000001,2267.73
15.700000000000001,2319.25
15.8,2127.92
15.9,1967.05
16.0,2024.2
16.1,2480.09
16.2,2383.2
16.3,2152.49
16.400000000000002,2232.38
16.5,2213.28
16.6,1813.26
16.7,1965.09
16.8,2084.89
16.900000000000002,2262.09
17.0,2698.1
17.1,2819.48
17.2,2647.03
17.3,2379.97
17.400000000000002,2940.23
17.5,2782.25
17.6,2625.92
17.7,2545.78
17.8,2533.02
17.900000000000002,2469.37
18.0,2305.86
18.1,2275.37
18.2,2266.66
18.3,2245.13
18.400000000000002,2140.59
18.5,2238.05
18.6,2235.57
18.7,2502.22
18.8,1953.81
18.900000000000002,2275.08
19.0,2507.6
19.1,2081.86
19.200000000000003,2081.86
19.3,2072.22
19.400000000000002,1879.73
19.5,1826.35
19.6,1758.34
19.700000000000003,2231.86
19.8,2340.37
19.900000000000002,2568.67
20.0,2567.56
20.1,2259.38
20.200000000000003,2136.21
20.3,2202.32
20.400000000000002,1931.72
20.5,2133.64
20.6,2013.69
20.700000000000003,1972.51
20.8,2132.9
20.900000000000002,2133.76
21.0,1988.16
21.1,2169.65
21.200000000000003,1900.0
21.3,1964.08
21.400000000000002,2000.73
21.5,1904.84
21.6,1903.31
21.700000000000003,1651.63
21.8,1842.11
21.900000000000002,1774.84
22.0,1636.1
22.1,1820.51
22.200000000000003,1641.52
22.3,1321.71
22.400000000000002,1179.02
22.5,1314.04
22.6,1193.4
22.700000000000003,1539.43
22.8,1190.27
22.900000000000002,1465.07
23.0,1470.61
23.1,1428.37
23.200000000000003,1293.26
23.3,1316.65
23.400000000000002,1304.54
23.5,1444.03
23.6,1357.84
23.700000000000003,1329.51
23.8,1225.32
23.900000000000002,1187.96
